,lon,lat
2962942539,-151.4068219,59.6813926
2972605905,-160.4865887,55.3557923
2972605906,-160.4861827,55.3556807
2972605907,-160.4865387,55.3552619
2972605908,-160.4869447,55.3553735
2975131045,-160.4997343,55.3431353
2975131046,-160.4998583,55.3433369
2975131047,-160.5000482,55.3432991
2975131048,-160.4999243,55.3430976
3007011321,-150.1148914,62.324414
3007011322,-150.1155309,62.3244456
3007011323,-150.1142827,62.3245618
3007011324,-150.1143909,62.3247269
3007011325,-150.1145701,62.3247814
3007011326,-150.1153919,62.3247814
3079914507,-149.8513246,61.1452491
3079914508,-149.8500157,61.1452559
3079914509,-149.8513347,61.1457053
3079914510,-149.8500258,61.145712
3080539638,-147.8244221,64.8355072
3080539640,-147.8250648,64.8356245
3080539642,-147.8246572,64.835472
3080539644,-147.8248145,64.835662
3080539646,-147.8247571,64.8359118
3080539650,-147.8252424,64.8358391
