id,lon,lat
760725113,-147.7217768,64.8451583
760725424,-147.7174958,64.8440763
760725425,-147.7168518,64.8441235
760725426,-147.7167805,64.843948
760725427,-147.7174245,64.8439008
763046806,-147.7166819,64.8424598
763046825,-147.7162269,64.8420729
763046834,-147.7252087,64.8439746
763046841,-147.7161944,64.842484
763046870,-147.7166494,64.84237
763046894,-147.7255095,64.8435784
763046896,-147.7163488,64.8423804
763046908,-147.7160481,64.8420936
763550331,-147.8319101,64.8591327
763550337,-147.8327182,64.8591464
763550376,-147.8262292,64.858798
763550377,-147.8323814,64.8590754
763550403,-147.8323231,64.8591999
763550423,-147.8321028,64.8590848
763550455,-147.8325852,64.8591464
763550469,-147.8319084,64.8592215
763550480,-147.8324997,64.8590316
763550522,-147.8319097,64.8591104
763550583,-147.8316995,64.8592429
763550664,-147.8321715,64.8590962
763550683,-147.8325064,64.8591466
763550698,-147.8319087,64.8592432
763550705,-147.8326608,64.8590335
763550738,-147.8321903,64.8592002
763550780,-147.8316978,64.8591332
763550813,-147.82675,64.8586143
763550814,-147.8323157,64.8590843
763550818,-147.8268774,64.858686
763550829,-147.8323981,64.8591777
763550867,-147.8321182,64.8592004
763550874,-147.8263267,64.85886
763550875,-147.8325002,64.8590624
763626866,-147.8236714,64.8604936
822543771,-149.8966103,61.2172774
860811559,-149.8555938,61.1718388
860811560,-149.8558835,61.1718181
860811561,-149.8557869,61.1714973
860811562,-149.8560713,61.1714792
860811563,-149.856141,61.1716965
860811564,-149.8564253,61.1716732
860811565,-149.8563019,61.1713602
860811566,-149.8560605,61.1713706
860811567,-149.8560337,61.1713189
860811568,-149.8557816,61.1713266
860811569,-149.8557977,61.1713758
860811570,-149.8555724,61.1713913
860811571,-149.8554704,61.171443
860811572,-149.8532174,61.1716034
860811573,-149.8532925,61.1714818
860811574,-149.8537538,61.1715491
860811575,-149.8538289,61.1714146
860811576,-149.8531906,61.1713163
860811577,-149.853271,61.1711818
860811578,-149.8541132,61.1713137
860811579,-149.8540757,61.1713887
860811580,-149.8541508,61.171399
860811581,-149.854006,61.1716318
860811582,-149.8539309,61.1716189
860811583,-149.8538772,61.1717094
970088772,-149.9001829,61.2176121
970088773,-149.901211,61.2182078
1023608677,-149.9123598,61.1884917
1023608748,-149.9114291,61.1884943
1023608781,-149.9114291,61.1883508
1023608952,-149.9123571,61.1883495
1211787506,-165.4074501,64.4997822
1211787598,-165.4078612,64.4998638
1211787606,-165.4077429,64.4999743
1211787621,-165.4073318,64.4998927
1309409157,-135.3355911,57.0498279
1309409186,-135.3356872,57.0495441
1309437955,-135.3351493,57.0499932
1309437969,-135.3352053,57.0501413
1309437992,-135.3351218,57.0500589
1309437998,-135.3355255,57.0500959
1309438006,-135.3353175,57.0501577
1309438007,-135.3353634,57.0499315
1309438015,-135.3354057,57.0499707
1309438024,-135.3352794,57.0501197
1309438025,-135.3355561,57.0500257
1309438032,-135.335487,57.0500577
1309438035,-135.3351946,57.0500359
1310502775,-135.3291161,57.0516417
1310503007,-135.3291492,57.0518476
1310503266,-135.3294034,57.0516215
1310503320,-135.3292498,57.0515964
1310503461,-135.3294386,57.051832
1358298021,-147.9102955,64.9132554
1358298022,-147.9102314,64.9130903
1358298023,-147.9105412,64.9130686
1358298053,-147.9106053,64.9132338
1658669020,-147.8097565,64.8311361
1658669021,-147.811898,64.831134
1658669022,-147.8100777,64.8313033
1658669024,-147.8097572,64.8312765
1658669026,-147.8106261,64.8313233
1658669028,-147.811899,64.8313221
1658669029,-147.8105214,64.8313619
1658669031,-147.8100828,64.8322399
1658669033,-147.8105266,64.8322394
1658669085,-147.7701214,64.8425717
1658669087,-147.7705003,64.8427633
1658669088,-147.769075,64.8429458
1658669093,-147.769454,64.8431374
1658669473,-147.7170682,64.8600358
1658669474,-147.716621,64.8600374
1658669475,-147.7224202,64.8600452
1658669477,-147.7208392,64.8600468
1658669500,-147.7219109,64.8602562
1658669501,-147.7208404,64.8602573
1658669504,-147.7146196,64.8603095
1658669505,-147.7234302,64.8603165
1658669508,-147.7162627,64.8603169
1658669510,-147.7224217,64.8603175
1658669534,-147.7146148,64.8605014
1658669538,-147.716258,64.8605088
1658669541,-147.7234313,64.8605232
1658669544,-147.7219124,64.8605247
1658669553,-147.7161465,64.8607151
1658669555,-147.7170822,64.8607452
1658669558,-147.716635,64.8607468
1658669561,-147.716283,64.8608743
1658669570,-147.7146123,64.8609525
1658669581,-147.7147488,64.8611117
1658669588,-147.7181221,64.8613691
