,lon,lat
322949731,-149.8722325,61.1289719
322949732,-149.8717261,61.1289885
322949733,-149.8717175,61.1289181
322949734,-149.8712025,61.1289346
322949735,-149.8713484,61.1297593
322949736,-149.8720265,61.1297303
322949737,-149.8720007,61.1295811
323164878,-149.8598303,61.1432765
323164880,-149.8587273,61.143279
323164882,-149.8587259,61.1431388
323164883,-149.8582287,61.1431399
323164884,-149.8582165,61.1418737
323164885,-149.8587905,61.1418725
323164887,-149.8587867,61.1415304
323164888,-149.858015,61.1415321
323164889,-149.858003,61.1402858
323164890,-149.8599277,61.1403166
323164892,-149.8599466,61.1430334
323164893,-149.859828,61.1430337
323165138,-149.8597998,61.1401108
323165140,-149.8597975,61.1394368
323165142,-149.8582571,61.1394429
323165144,-149.8583215,61.1398949
323165146,-149.8587641,61.1398931
323165147,-149.8587679,61.1401149
323186066,-149.80531,61.1798552
323186067,-149.805311,61.1797037
323186068,-149.8058259,61.1797044
323186069,-149.8056502,61.1793568
323186070,-149.8051391,61.1791768
323186155,-149.8065642,61.179857
323186156,-149.8065693,61.1790446
323186157,-149.8051399,61.1790426
323186159,-149.8051382,61.1793199
323956170,-149.7333562,61.2317075
323956171,-149.7324206,61.2316993
323956173,-149.7324206,61.2323354
323956176,-149.7321031,61.2323354
323956178,-149.7321031,61.232166
323956180,-149.7315881,61.2321578
323956182,-149.7315795,61.2323354
323956184,-149.7308242,61.2323354
323956187,-149.7308242,61.2325915
323956190,-149.7328069,61.2333763
323956192,-149.7341115,61.2333763
323956194,-149.7340858,61.2328517
323956196,-149.7339742,61.2328517
323956198,-149.7339656,61.2323767
323956200,-149.7343261,61.232385
323956202,-149.7343347,61.2325378
323956204,-149.7348411,61.2325337
323956206,-149.7348411,61.2323808
323956207,-149.7349784,61.2323808
323956208,-149.7349698,61.2320999
323956209,-149.7329013,61.2321123
323956210,-149.7329099,61.2319058
323956211,-149.7333562,61.2319017
323962864,-149.7172342,61.2329385
323962865,-149.7172594,61.2327513
323962866,-149.7168222,61.2327485
323962867,-149.7159652,61.2323596
323962869,-149.715585,61.23256
323962870,-149.7165878,61.2330712
323982968,-149.7644399,61.2323259
323982970,-149.7644462,61.2321725
323982973,-149.7634367,61.231837
323982975,-149.7634298,61.2323228
324178810,-149.8350775,61.163486
324178811,-149.8344758,61.1636272
324178812,-149.8344675,61.1644232
324178814,-149.8344095,61.1662055
324178815,-149.8377892,61.1660487
324178817,-149.8376214,61.1652724
324178818,-149.836952,61.1645356
324178850,-149.8368061,61.1652434
324178851,-149.8363941,61.1650696
324178852,-149.8360078,61.1652145
324178853,-149.835407,61.1652103
324178854,-149.834892,61.1649785
324178855,-149.8345659,61.1651234
324178856,-149.835201,61.1654711
324178857,-149.8345659,61.1657484
324178858,-149.8349264,61.1658892
324178859,-149.8354843,61.1656615
324178860,-149.835819,61.1658395
324178861,-149.8361709,61.1656864
324178862,-149.8359992,61.1655829
324585299,-149.8095599,61.1591116
324585300,-149.8076029,61.1590868
324585301,-149.8067103,61.1584823
324585302,-149.8065301,61.1582421
324585303,-149.806281,61.1578333
324585304,-149.8063241,61.1565445
324585305,-149.8096629,61.1565362
324585306,-149.809723,61.1586148
324585408,-149.8093711,61.1579854
324585409,-149.8091221,61.1577618
324585410,-149.8086587,61.1578736
324585411,-149.8079548,61.1577411
324585412,-149.8076544,61.1575465
324585413,-149.8072081,61.1576542
324585414,-149.8076459,61.1580227
324585415,-149.8069163,61.158238
324585416,-149.8071824,61.1584284
324585417,-149.8078433,61.1582711
324585418,-149.8080922,61.1584574
324585419,-149.8085557,61.1583498
324585420,-149.8084183,61.1582421
324586453,-149.760253,61.1798052
324586454,-149.7603714,61.17961
324586455,-149.7601713,61.1795846
324586456,-149.7602501,61.1794298
324586457,-149.7598618,61.1793786
324586458,-149.7597851,61.1795184
324586459,-149.758954,61.1794008
324586460,-149.7588238,61.179626
324586461,-149.7590555,61.1796633
324586462,-149.7591719,61.1797472
324586463,-149.7595946,61.1798463
324586464,-149.7598363,61.17975
401411062,-147.7449586,64.8571778
401411064,-147.7531985,64.8537373
410734039,-150.1777066,67.2519454
410734043,-150.1868775,67.2527045
411504287,-145.4777075,62.1082556
412521149,-146.3477393,61.1312201
419837603,-147.8292691,64.8512543
419837968,-147.8277129,64.8527661
425946368,-142.983462,63.3349389
425964334,-147.8285676,64.8487352
425964335,-147.8276921,64.8487352
425964336,-147.8276783,64.848126
425964337,-147.828559,64.8481224
426686764,-145.7317718,64.0318457
427598414,-147.7073107,64.8526511
427598415,-147.7080422,64.8534503
427598416,-147.7078842,64.8534136
427598417,-147.7075105,64.8537036
427598418,-147.7049586,64.8531099
427598419,-147.7059557,64.8523359
427598534,-147.7041072,64.8521945
427598535,-147.7035321,64.8526248
427598536,-147.7010103,64.8520262
427598537,-147.7010338,64.8520071
427598538,-147.7003948,64.8518545
427598539,-147.7002708,64.8519482
427598540,-147.6999939,64.851882
427598541,-147.7000837,64.8518141
427598543,-147.6992921,64.8516109
427598546,-147.6991204,64.8516546
427598549,-147.6985711,64.8515343
427598551,-147.6992577,64.8510017
427598555,-147.7015936,64.8515836
427598558,-147.7015848,64.8515905
427601387,-147.7050761,64.8513254
427601396,-147.7048359,64.8515101
427601398,-147.7040605,64.851328
427601402,-147.7043008,64.8511433
427603357,-147.7065884,64.8519028
427603358,-147.7063903,64.8520453
427603359,-147.7054569,64.8518109
427603361,-147.7056553,64.8516683
427603362,-147.7062434,64.851816
427603363,-147.7062861,64.8517852
427603364,-147.7064256,64.8518202
427603365,-147.7063826,64.8518511
428104591,-147.7612454,64.833548
428104592,-147.7591866,64.8335559
428104594,-147.7590395,64.8336321
428104595,-147.7586619,64.8336223
428104596,-147.7583185,64.8334836
428104597,-147.7563463,64.8334686
428104598,-147.7563311,64.8324211
428104601,-147.7584234,64.832432
428104602,-147.7591906,64.832888
428104603,-147.76126,64.8328903
441294421,-147.6677977,64.8458883
441294423,-147.6670154,64.8465487
441294426,-147.6663224,64.8463639
441294429,-147.6665439,64.8462138
441294433,-147.6663954,64.8461742
441294437,-147.6666075,64.8460305
441294441,-147.6660445,64.8458804
441294443,-147.6657637,64.8460707
441294445,-147.665008,64.8458692
441294449,-147.665284,64.8456821
441294452,-147.6647608,64.8455426
441294456,-147.665191,64.8452512
441294459,-147.6656058,64.8453617
441294461,-147.6658285,64.8452108
441294462,-147.6667702,64.8454619
441294463,-147.6665377,64.8456194
441294464,-147.6670454,64.8457548
441294465,-147.6671164,64.8457067
